TimePeriod,GeoType,GeoID,GeoRank,Geography,Age-adjusted percent,Number,Percent
2022,UHF34,101,3,Kingsbridge - Riverdale,"6.1* (2.5, 14.2)","5,000*","7.8* (3.0, 18.8)"
2022,UHF34,102,3,Northeast Bronx,"3.9* (1.7, 8.7)","7,000*","4.1* (1.7, 9.4)"
2022,UHF34,103,3,Fordham - Bronx Pk,"6.8 (4.3, 10.6)","13,000","6.8 (4.3, 10.5)"
2022,UHF34,104,3,Pelham - Throgs Neck,"7.6 (4.8, 11.8)","18,000","7.7 (4.9, 11.7)"
2022,UHF34,201,3,Greenpoint,"0.9* (0.3, 2.8)","1,000*","1.3* (0.4, 4.1)"
2022,UHF34,202,3,Downtown - Heights - Slope,"3.7* (1.8, 7.6)","8,000*","3.8* (1.8, 7.7)"
2022,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"4.3 (2.6, 7.1)","11,000","4.3 (2.6, 6.9)"
2022,UHF34,204,3,East New York,"7.0* (2.9, 15.8)","11,000*","6.9* (2.8, 15.9)"
2022,UHF34,205,3,Sunset Park,**,**,**
2022,UHF34,206,3,Borough Park,"1.9* (0.8, 4.8)","4,000*","2.0* (0.8, 4.9)"
2022,UHF34,207,3,East Flatbush - Flatbush,"5.0* (2.5, 9.8)","13,000*","5.2* (2.5, 10.6)"
2022,UHF34,208,3,Canarsie - Flatlands,"5.0* (2.1, 11.1)","8,000*","4.8* (2.2, 10.1)"
2022,UHF34,209,3,Bensonhurst - Bay Ridge,"3.3* (1.6, 6.7)","6,000*","3.5* (1.7, 7.3)"
2022,UHF34,210,3,Coney Island - Sheepshead Bay,**,"7,000*","2.8* (1.1, 7.5)"
2022,UHF34,211,3,Williamsburg - Bushwick,"9.2* (5.0, 16.5)","16,000*","8.8* (4.7, 15.8)"
2022,UHF34,301,3,Washington Heights,"5.7* (2.4, 12.8)","13,000*","5.8* (2.4, 13.4)"
2022,UHF34,302,3,Central Harlem - Morningside Heights,**,**,**
2022,UHF34,303,3,East Harlem,"4.1* (1.6, 10.5)","3,000*","3.9* (1.5, 9.8)"
2022,UHF34,304,3,Upper West Side,"8.0* (3.1, 19.2)","15,000*","7.9* (2.9, 19.6)"
2022,UHF34,401,3,Long Island City - Astoria,**,**,**
2022,UHF34,402,3,West Queens,"2.9* (1.5, 5.5)","11,000*","3.1* (1.6, 6.0)"
2022,UHF34,403,3,Flushing - Clearview,"1.8* (0.8, 4.2)","4,000*","1.7* (0.8, 3.7)"
2022,UHF34,405,3,Ridgewood - Forest Hills,"1.9* (0.7, 5.3)","4,000*","2.0* (0.7, 5.7)"
2022,UHF34,407,3,Southwest Queens,"4.0* (2.0, 7.7)","9,000*","4.0* (2.1, 7.7)"
2022,UHF34,408,3,Jamaica,"4.7* (2.3, 9.6)","12,000*","4.7* (2.3, 9.3)"
2022,UHF34,409,3,Southeast Queens,**,**,**
2022,UHF34,410,3,Rockaways,"3.7* (1.7, 7.9)","4,000*","3.9* (1.8, 8.3)"
2022,UHF34,305307,3,Upper East Side-Gramercy,"3.7* (1.9, 7.0)","11,000*","3.6* (2.0, 6.4)"
2022,UHF34,306308,3,Chelsea-Village  ,"1.8* (0.8, 4.0)","4,000*","1.9* (0.8, 4.4)"
